No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
89,UBCP,"United Bancorp, Inc.",Financial,Regional - Midwest Banks,USA,80.92M,13.92,13.60,-0.03%,"1,350"
90,HEAR,Turtle Beach Corporation,Technology,Communication Equipment,USA,116.01M,8.78,8.31,-2.58%,"283,120"
91,VCTR,"Victory Capital Holdings, Inc.",Financial,Asset Management,USA,1.46B,22.93,21.65,-0.87%,"47,671"
92,MLCO,Melco Resorts & Entertainment Limited,Services,Resorts & Casinos,Hong Kong,10.05B,23.39,21.24,0.14%,"5,259,929"
93,WILC,G. Willi-Food International Ltd.,Consumer Goods,Food - Major Diversified,Israel,160.76M,14.63,12.30,2.07%,"1,063"
94,PCOM,Points International Ltd.,Technology,Internet Information Providers,Canada,223.92M,20.81,16.90,-2.20%,"65,813"
95,PENN,"Penn National Gaming, Inc.",Services,Resorts & Casinos,USA,3.02B,32.70,25.96,0.23%,"1,408,235"
96,RVSB,"Riverview Bancorp, Inc.",Financial,Savings & Loans,USA,167.93M,9.78,7.47,0.13%,"75,809"
97,USAK,"USA Truck, Inc.",Services,Trucking,USA,58.55M,11.06,7.31,0.69%,"63,567"
98,VIVO,"Meridian Bioscience, Inc.",Healthcare,Diagnostic Substances,USA,406.99M,16.78,9.53,-0.99%,"167,698"
99,OAS,Oasis Petroleum Inc.,Basic Materials,Independent Oil & Gas,USA,791.45M,4.42,2.40,-3.23%,"14,247,634"
100,PMD,Psychemedics Corporation,Healthcare,Medical Laboratories & Research,USA,51.48M,18.26,9.75,-1.52%,"44,521"
101,NTWK,"NetSol Technologies, Inc.",Technology,Application Software,USA,47.05M,8.53,4.25,3.16%,"35,283"
102,SPWH,"Sportsman's Warehouse Holdings, Inc.",Consumer Goods,Sporting Goods,USA,271.97M,13.24,6.46,1.41%,"834,560"
103,DLTH,Duluth Holdings Inc.,Services,Apparel Stores,USA,277.81M,18.35,8.66,-2.70%,"216,871"
104,CPSS,"Consumer Portfolio Services, Inc.",Financial,Credit Services,USA,77.76M,7.78,3.47,0.00%,"22,213"
105,DLHC,DLH Holdings Corp.,Services,Staffing & Outsourcing Services,USA,57.65M,12.22,5.00,1.83%,"7,810"
106,AXAS,Abraxas Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,50.34M,0.86,0.30,-3.64%,"1,302,762"
107,RCMT,"RCM Technologies, Inc.",Services,Staffing & Outsourcing Services,USA,36.27M,8.23,2.79,-1.06%,"4,936"
108,REDU,RISE Education Cayman Ltd,Services,Education & Training Services,China,387.21M,20.80,6.74,1.05%,"6,833"
109,XOG,"Extraction Oil & Gas, Inc.",Basic Materials,Independent Oil & Gas,USA,214.37M,4.77,1.53,-1.29%,"2,758,245"
110,OESX,"Orion Energy Systems, Inc.",Technology,Diversified Electronics,USA,123.22M,15.03,4.45,2.77%,"391,097"
111,BBQ,"BBQ Holdings, Inc.",Services,Restaurants,USA,38.78M,17.58,4.22,-1.63%,81
112,ANY,Sphere 3D Corp.,Technology,Application Software,Canada,2.80M,3.56,0.79,-5.38%,"21,298"
113,SPRT,"Support.com, Inc.",Technology,Internet Software & Services,USA,23.93M,5.74,1.24,0.81%,"34,932"
114,CRNT,Ceragon Networks Ltd.,Technology,Communication Equipment,Israel,178.06M,13.93,2.27,-1.73%,"559,284"
115,CTHR,"Charles & Colvard, Ltd.",Services,Jewelry Stores,USA,42.70M,14.43,1.53,0.66%,"84,101"
116,PFIE,"Profire Energy, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,62.26M,15.11,1.39,-0.71%,"22,988"
117,TRVG,trivago N.V.,Technology,Internet Information Providers,Germany,977.41M,34.81,2.75,-7.72%,"220,239"
